ID	IDServices	Num Services	Hini	Hfin	Distance	Service Time	Travel Time	Waiting time
1	16525.6.09:30.150/0-40239.6.12:40.60/0-35240.6.13:50.30/0-19852.6.20:20.30/0-4437.6.21:00.30/1-	5	09:30:43	21:00:43	3.0720607470672816E7	0.005	2.0194990224272016	361.00036666666665
2	29825.6.09:00.60/0-2287.6.12:25.60/0-19852.6.20:20.30/1-4437.6.21:00.30/0-	4	09:00:43	21:00:43	3.066298645672932E7	0.003	6.099865224310629	387.99983333333336
3	42985.6.09:00.60/0-36454.6.12:10.30/0-11990.6.13:30.30/0-1108.6.18:30.120/0-1602.6.20:55.60/0-	5	09:00:43	20:42:43	2.9508872981039878E7	0.005	7.630049367995891	247.99951666666666
4	35013.6.09:10.60/0-37133.6.10:50.60/0-40237.6.19:10.30/0-40239.6.19:40.30/0-7351.6.20:50.60/0-	5	09:10:43	20:42:43	2.9492673805983447E7	0.004	7.089743532781595	307.99968333333334
5	21097.6.08:00.120/0-42840.6.11:30.60/0-24977.6.19:40.60/0-43332.6.21:00.60/0-	4	08:00:43	20:53:43	2.9453952319152307E7	0.005	7.797227305076915	307.00058333333334
6	28449.6.08:00.60/0-28348.6.09:15.30/0-28438.6.10:30.60/0-1027.6.13:55.30/0-5962.6.19:50.60/0-41144.6.21:00.30/0-	6	08:00:43	20:53:43	2.942582054302625E7	0.0045	8.862134767541637	275.99926666666664
7	9555.6.09:00.60/0-39794.6.11:30.60/0-32970.6.20:15.30/0-5819.6.21:20.30/0-	4	09:00:43	21:13:43	2.932559681814636E7	0.003	7.519210604878741	365.00033333333334
8	34241.6.08:00.60/0-6940.6.10:00.60/0-19633.6.20:10.30/0-15696.6.21:00.30/0-	4	08:00:43	20:57:43	2.8422940992242314E7	0.003	9.431916408077068	348.99971666666664
9	43046.6.08:50.60/0-8440.6.10:10.30/0-34049.6.12:35.60/0-36821.6.14:00.60/0-29078.6.20:00.60/0-	5	08:50:43	15:47:43	2.834234693636353E7	0.0045	6.743547878784349	259.0006666666667
10	45695.6.08:00.30/1-33904.6.08:45.60/0-37154.6.11:10.60/0-53292.6.14:30.45/0-3927.6.19:30.60/0-36635.6.21:00.30/0-	6	08:00:43	20:59:43	2.8039954399218604E7	0.00475	10.665429973953488	206.99985
11	28016.6.08:30.30/0-32903.6.09:45.30/0-37874.6.12:30.60/0-37175.6.13:45.30/0-7612.6.14:35.30/0-52798.6.16:00.240/0-23731.6.20:10.30/0-24257.6.20:55.30/0-	8	08:30:43	20:53:43	2.7830368221525118E7	0.008	9.448055858948646	8.99975
12	3233.6.08:30.60/0-29444.6.10:00.30/0-38079.6.10:45.60/0-34934.6.13:15.30/0-48331.6.19:50.30/0-53292.6.20:30.45/0-	6	08:30:43	20:25:43	2.7670644759226155E7	0.00425	8.353575307538431	262.00061666666664
13	36001.6.09:00.30/0-13373.6.11:10.30/0-5759.6.11:55.60/0-6841.6.14:00.60/0-30805.6.20:10.30/0-42978.6.21:30.30/1-	6	09:00:43	21:25:43	2.753909605800888E7	0.004	9.970551933629393	243.99965
14	39774.6.07:55.60/0-46259.6.10:10.30/0-38366.6.11:00.60/0-5846.6.13:30.30/0-46259.6.19:40.30/0-16525.6.20:30.30/0-	6	07:55:43	20:30:43	2.6922311687231407E7	0.004	9.41000624104695	264.0001833333333
